0.00632,18,2.31,0,0.538,65.75,65.2,40.9,1,296,15.3,396.9,4.98,24
0.02731,0,7.07,0,0.469,64.21,78.9,49.671,2,242,17.8,396.9,9.14,21.6
0.02729,0,7.07,0,0.469,71.85,61.1,49.671,2,242,17.8,392.83,4.03,34.7
0.03237,0,2.18,0,0.458,69.98,45.8,60.622,3,222,18.7,394.63,2.94,33.4
0.06905,0,2.18,0,0.458,71.47,54.2,60.622,3,222,18.7,396.9,5.33,36.2
0.02985,0,2.18,0,0.458,64.3,58.7,60.622,3,222,18.7,394.12,5.21,28.7
0.08829,12.5,7.87,0,0.524,60.12,66.6,55.605,5,311,15.2,395.6,12.43,22.9
0.14455,12.5,7.87,0,0.524,61.72,96.1,59.505,5,311,15.2,396.9,19.15,27.1
0.21124,12.5,7.87,0,0.524,56.31,100,60.821,5,311,15.2,386.63,29.93,16.5
0.17004,12.5,7.87,0,0.524,60.04,85.9,65.921,5,311,15.2,386.71,17.1,18.9
0.22489,12.5,7.87,0,0.524,63.77,94.3,63.467,5,311,15.2,392.52,20.45,15
0.11747,12.5,7.87,0,0.524,60.09,82.9,62.267,5,311,15.2,396.9,13.27,18.9
0.09378,12.5,7.87,0,0.524,58.89,39,54.509,5,311,15.2,390.5,15.71,21.7
0.62976,0,8.14,0,0.538,59.49,61.8,47.075,4,307,21,396.9,8.26,20.4
0.63796,0,8.14,0,0.538,60.96,84.5,44.619,4,307,21,380.02,10.26,18.2
0.62739,0,8.14,0,0.538,58.34,56.5,44.986,4,307,21,395.62,8.47,19.9
105.393,0,8.14,0,0.538,59.35,29.3,44.986,4,307,21,386.85,6.58,23.1
0.7842,0,8.14,0,0.538,59.9,81.7,42.579,4,307,21,386.75,14.67,17.5
0.80271,0,8.14,0,0.538,54.56,36.6,37.965,4,307,21,288.99,11.69,20.2
0.7258,0,8.14,0,0.538,57.27,69.5,37.965,4,307,21,390.95,11.28,18.2
125.179,0,8.14,0,0.538,55.7,98.1,37.979,4,307,21,376.57,21.02,13.6
0.85204,0,8.14,0,0.538,59.65,89.2,40.123,4,307,21,392.53,13.83,19.6
123.247,0,8.14,0,0.538,61.42,91.7,39.769,4,307,21,396.9,18.72,15.2
0.98843,0,8.14,0,0.538,58.13,100,40.952,4,307,21,394.54,19.88,14.5
0.75026,0,8.14,0,0.538,59.24,94.1,43.996,4,307,21,394.33,16.3,15.6
0.84054,0,8.14,0,0.538,55.99,85.7,44.546,4,307,21,303.42,16.51,13.9
0.67191,0,8.14,0,0.538,58.13,90.3,46.82,4,307,21,376.88,14.81,16.6
0.95577,0,8.14,0,0.538,60.47,88.8,44.534,4,307,21,306.38,17.28,14.8
0.77299,0,8.14,0,0.538,64.95,94.4,44.547,4,307,21,387.94,12.8,18.4
100.245,0,8.14,0,0.538,66.74,87.3,42.39,4,307,21,380.23,11.98,21
113.081,0,8.14,0,0.538,57.13,94.1,42.33,4,307,21,360.17,22.6,12.7
135.472,0,8.14,0,0.538,60.72,100,41.75,4,307,21,376.73,13.04,14.5
138.799,0,8.14,0,0.538,59.5,82,39.9,4,307,21,232.6,27.71,13.2
115.172,0,8.14,0,0.538,57.01,95,37.872,4,307,21,358.77,18.35,13.1
161.282,0,8.14,0,0.538,60.96,96.9,37.598,4,307,21,248.31,20.34,13.5
0.06417,0,5.96,0,0.499,59.33,68.2,33.603,5,279,19.2,396.9,9.68,18.9
0.09744,0,5.96,0,0.499,58.41,61.4,33.779,5,279,19.2,377.56,11.41,20
